STUDENT'S NAME,Sex,Exam Number,Date of Birth,Agriculture,Bible Knowledge,Biology,Chemistry,Chichewa,English,Geography,History,Mathematics,Physics,Social/Life
,,J047/035,,80,72,84,63,72,71,54,78,48,77,88
,,J047/141,,83,57,77,68,73,47,60,73,83,85,80
,,J047/106,,65,73,72,62,74,52,60,74,85,87,81
,,J047/082,,92,57,71,79,73,56,60,69,66,78,82
,,J047/160,,86,64,70,75,71,63,53,82,51,84,81
,,J047/042,,82,72,71,67,73,51,56,71,65,87,78
,,J047/090,,87,62,70,65,51,46,63,81,80,90,70
,,J047/071,,70,63,71,69,69,71,53,49,83,77,72
,,J047/078,,68,71,81,58,61,63,57,79,75,65,69
,,J047/094,,69,64,69,64,71,63,58,65,66,68,90
,,J047/113,,70,61,76,78,53,52,51,75,64,90,64
,,J047/072,,70,68,72,46,69,48,53,68,71,88,70
,,J047/143,,72,43,77,70,54,52,43,70,68,83,87
,,J047/068,,86,66,60,56,69,59,60,73,45,63,80
,,J047/127,,83,64,71,65,52,41,53,60,63,83,82
,,J047/075,,74,53,76,64,67,41,42,71,59,71,91
,,J047/036,,75,55,57,54,64,54,60,83,60,60,83
,,J047/059,,67,54,88,56,79,63,42,46,56,82,69
,,J047/097,,69,76,70,44,65,50,51,72,75,63,67
,,J047/157,,69,54,80,62,60,45,55,73,65,77,62
,,J047/048,,71,85,80,62,68,56,42,57,43,60,70
,,J047/056,,61,73,60,51,71,47,56,65,61,73,76
,,J047/034,,70,64,73,63,64,65,48,57,53,65,71
,,J047/119,,72,59,54,35,64,54,51,66,68,75,86
,,J047/171,,76,81,65,58,56,41,53,76,38,56,80
,,J047/169,,80,56,63,56,75,45,40,73,35,70,82
,,J047/155,,76,75,62,53,50,52,43,41,66,70,77
,,J047/122,,36,65,63,52,65,50,48,60,58,70,84
,,J047/081,,68,57,76,41,78,41,44,59,60,63,57
,,J047/139,,31,59,66,60,63,52,51,66,49,71,73
,,J047/040,,58,46,69,56,57,45,48,53,47,80,68
,,J047/070,,75,61,54,52,65,40,42,68,54,53,63
,,J047/074,,58,73,58,53,57,43,35,48,55,73,72
,,J047/124,,73,70,51,50,55,62,29,75,52,49,58
,,J047/083,,81,51,63,-,63,41,41,63,68,73,75
,,J047/166,,72,56,69,40,70,49,45,56,36,56,65
,,J047/077,,61,62,53,54,60,39,42,61,40,68,70
,,J047/027,,74,62,61,47,62,49,46,56,39,58,53
,,J047/011,,65,58,58,31,74,50,41,61,41,53,73
,,J047/073,,61,52,63,62,56,47,41,65,34,49,75
,,J047/168,,61,45,58,43,54,51,41,61,35,68,67
,,J047/045,,60,58,61,47,62,43,47,55,36,54,58
,,J047/087,,44,44,44,58,67,40,56,56,45,54,69
,,J047/010,,56,56,53,46,52,57,37,45,45,63,65
,,J047/084,,63,51,61,56,64,40,40,59,40,43,58
,,J047/150,,34,60,57,50,70,41,40,61,20,66,75
,,J047/095,,55,57,64,49,42,59,36,39,37,60,56
,,J047/030,,62,31,58,36,59,52,40,47,41,48,77
,,J047/032,,64,61,42,0,71,62,47,50,38,41,74
,,J047/142,,23,48,69,37,56,52,50,60,28,63,60
,,J047/132,,43,46,54,71,50,44,43,49,28,43,73
,,J047/112,,59,46,54,43,56,42,42,31,55,53,58
,,J047/138,,70,50,42,35,60,41,34,71,45,37,53
,,J047/154,,64,47,60,37,63,43,54,37,23,43,67
,,J047/135,,61,46,56,42,49,47,40,54,31,53,52
,,J047/105,,40,54,64,37,69,34,43,40,50,44,55
,,J047/117,,59,22,45,38,43,42,33,54,65,71,52
,,J047/110,,59,57,40,44,54,42,43,58,22,43,60
,,J047/058,,60,51,51,26,58,48,31,51,32,58,49
,,J047/091,,37,45,65,46,65,45,34,47,29,43,56
,,J047/044,,51,44,57,44,41,49,40,43,34,58,49
,,J047/051,,42,42,75,54,62,56,40,63,14,61,-
,,J047/134,,61,24,33,53,60,31,31,54,35,61,63
,,J047/092,,64,31,59,36,56,40,34,43,32,58,52
,,J047/055,,76,34,50,44,72,30,26,43,26,44,59
,,J047/004,,53,39,31,35,67,25,31,43,63,48,68
,,J047/012,,69,51,34,27,58,39,27,43,26,53,73
,,J047/115,,71,45,39,44,53,42,52,26,11,56,60
,,J047/148,,47,40,46,52,59,47,42,44,21,46,52
,,J047/022,,57,46,43,38,58,33,31,53,31,41,62
,,J047/028,,49,45,36,46,53,40,31,33,46,58,50
,,J047/014,,60,29,35,37,55,29,38,48,32,46,75
,,J047/152,,25,29,41,31,58,58,33,47,40,51,69
,,J047/003,,42,39,41,32,48,44,40,34,55,41,55
,,J047/076,,34,35,44,49,53,45,25,43,9,51,78
,,J047/111,,53,46,49,29,61,21,23,56,18,41,65
,,J047/175,,62,54,53,0,65,30,31,46,24,39,58
,,J047/164,,60,35,49,0,-,44,49,52,59,49,64
,,J047/103,,23,44,60,32,53,47,34,25,26,37,78
,,J047/136,,61,33,57,45,44,33,-,48,30,48,59
,,J047/121,,72,17,62,44,47,20,32,28,42,49,41
,,J047/116,,52,34,52,29,54,-,40,47,16,53,73
,,J047/093,,65,21,53,47,45,40,31,47,10,34,56
,,J047/065,,36,52,50,39,42,43,29,34,38,37,46
,,J047/088,,56,48,47,28,55,37,31,31,15,41,54
,,J047/176,,29,67,64,16,63,51,30,-,12,39,70
,,J047/041,,38,34,50,36,48,45,26,45,30,44,43
,,J047/165,,52,25,52,29,60,20,30,46,34,39,47
,,J047/052,,53,29,47,-,55,41,22,21,41,44,74
,,J047/096,,66,38,55,25,68,44,-,N,32,41,57
,,J047/023,,58,55,44,41,44,-,33,39,28,26,57
,,J047/064,,51,33,33,30,47,46,37,25,42,30,50
,,J047/017,,49,45,37,29,48,58,28,38,24,22,42
,,J047/007,,57,-,43,18,58,43,27,46,16,49,61
,,J047/019,,44,44,40,39,59,27,29,26,21,37,52
,,J047/054,,65,34,46,24,48,-,27,31,33,48,53
,,J047/120,,47,32,44,25,54,25,33,41,16,49,42
,,J047/025,,48,39,28,33,55,16,23,35,37,56,35
,,J047/015,,49,14,51,38,55,24,28,17,28,48,50
,,J047/108,,37,13,37,44,42,26,20,25,28,56,66
,,J047/131,,45,30,46,0,49,36,26,39,41,43,39
,,J047/123,,39,56,36,44,46,35,15,29,27,36,30
,,J047/047,,55,41,40,30,61,-,27,19,27,48,41
,,J047/046,,43,36,33,32,58,24,20,21,55,22,41
,,J047/114,,58,-,45,14,42,31,37,37,24,54,42
,,J047/144,,28,17,40,71,38,31,22,21,47,32,28
,,J047/080,,39,37,45,-,53,36,39,25,17,48,28
,,J047/021,,44,22,33,32,64,24,24,26,15,32,50
,,J047/024,,47,36,33,36,55,30,23,15,30,24,33
,,J047/029,,50,46,42,43,-,28,31,32,16,34,37
,,J047/104,,0,-,61,30,59,41,27,42,20,31,47
,,J047/026,,44,14,39,26,46,36,17,30,33,39,33
,,J047/118,,18,-,30,52,59,21,28,30,13,37,68
,,J047/151,,48,-,40,29,47,30,26,40,8,37,48
,,J047/102,,20,27,33,31,49,29,43,33,7,27,50
,,J047/146,,39,-,32,31,64,32,38,23,15,34,37
,,J047/089,,35,10,23,33,52,20,22,29,38,39,43
,,J047/172,,29,33,38,30,50,35,21,26,18,26,38
,,J047/162,,41,27,46,25,48,-,32,30,30,31,33
,,J047/173,,64,27,33,22,57,27,23,29,0,34,24
,,J047/016,,22,41,35,26,44,32,26,24,5,26,55
,,J047/031,,38,22,34,54,60,-,30,24,9,36,28
,,J047/067,,43,32,42,30,42,30,31,20,25,36,-
,,J047/086,,0,27,40,-,52,35,38,31,26,41,40
,,J047/002,,46,-,42,19,51,26,22,32,14,27,50
,,J047/057,,46,32,38,11,53,23,19,18,26,27,36
,,J047/147,,57,30,35,29,45,33,24,28,3,22,19
,,J047/009,,42,-,32,39,48,29,24,20,32,27,30
,,J047/100,,25,33,42,-,41,25,37,39,-,32,42
,,J047/159,,22,35,21,64,40,43,26,33,-,31,-
,,J047/137,,22,37,33,21,40,26,18,27,5,44,38
,,J047/174,,20,47,33,16,-,28,28,28,6,54,47
,,J047/133,,28,16,43,34,48,40,29,8,-,39,18
,,J047/109,,18,22,40,14,52,35,14,26,19,19,39
,,J047/149,,24,30,38,29,42,-,28,24,5,31,36
,,J047/053,,35,25,35,-,65,-,25,17,22,36,19
,,J047/018,,37,18,19,29,51,18,19,28,6,29,24
,,J047/006,,33,43,15,41,47,-,18,16,18,26,20
,,J047/008,,37,-,27,22,37,17,29,26,11,39,30
,,J047/049,,39,33,23,24,34,19,13,20,11,26,29
,,J047/163,,22,20,13,39,42,21,18,29,18,34,15
,,J047/020,,48,27,15,21,49,-,19,31,4,29,26
,,J047/156,,19,11,17,30,50,25,27,N,9,22,57
,,J047/085,,46,29,12,-,36,28,18,23,5,29,40
,,J047/062,,38,19,4,18,34,28,16,31,19,24,33
,,J047/153,,43,-,20,31,37,-,15,26,44,20,22
,,J047/079,,41,-,24,31,35,29,18,24,0,20,34
,,J047/013,,42,-,18,37,46,21,16,22,13,20,19
,,J047/167,,22,-,32,21,53,20,15,27,6,31,27
,,J047/038,,27,9,27,35,43,12,14,24,6,27,25
,,J047/060,,40,17,19,0,33,25,16,18,12,37,22
,,J047/001,,31,15,12,20,33,18,11,12,34,36,15
,,J047/130,,20,20,-,46,32,27,17,20,5,22,22
,,J047/037,,27,4,33,29,34,-,15,16,15,43,14
,,J047/063,,24,10,16,16,49,18,8,23,5,20,30
,,J047/145,,29,7,19,28,52,19,17,5,6,32,-
,,J047/101,,9,27,26,8,33,-,13,28,6,17,32
,,J047/043,,33,10,24,17,35,18,10,15,4,14,13
,,J047/158,,29,-,-,-,-,-,47,40,-,41,29
,,J047/161,,16,8,25,15,40,14,11,19,13,10,-
,,J047/069,,41,25,22,15,-,33,21,13,-,-,-
,,J047/126,,10,-,9,35,39,21,5,23,1,20,-
,,J047/066,,0,-,-,8,-,-,-,-,4,-,43
,,J047/005,,0,-,-,0,-,-,-,-,-,-,-
,,J047/033,,29,-,-,54,-,-,-,-,-,-,-
,,J047/039,,19,-,-,7,-,-,-,-,3,-,-
,,J047/050,,0,-,-,-,-,-,-,-,-,-,-
,,J047/061,,0,-,-,0,-,-,-,-,-,-,-
,,J047/098,,0,-,-,30,-,-,-,-,-,-,-
,,J047/099,,0,-,-,0,-,-,-,-,-,-,-
,,J047/107,,0,-,-,40,-,-,-,-,65,-,-
,,J047/125,,17,-,-,-,-,-,-,23,-,-,11
,,J047/128,,0,-,-,0,-,-,-,-,-,-,-
,,J047/129,,-,0,-,-,68,-,-,-,-,-,-
,,J047/140,,50,-,-,68,-,-,-,-,31,-,-
,,J047/170,,0,-,-,58,-,-,-,-,0,-,-
,,J047/177,,30,-,-,-,-,-,-,-,-,-,-
